,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
115,"CBRE Group, Inc.",92.98,93.48,93.0136,95.905,92.98,93.48,93.0136,95.905,1.7667248993523037
116,"Celldex Therapeutics, Inc.",40.08,40.49,39.51,42.25,40.08,40.49,39.51,42.25,1.5947827878205674
117,"Celsius Holdings, Inc.",86.68,86.37,85.5,90.37,86.68,86.37,85.5,90.37,2.4189328280362217
118,Cenntro Inc.,1.38,1.4,1.32,1.45,1.38,1.4,1.32,1.45,1.881940737072187
119,Centene Corporation,78.2,78.7,77.395,78.96,78.2,78.7,77.395,78.96,1.4907312053936743
120,Centerspace,54.76,54.98,54.87,57.195,54.76,54.98,54.87,57.195,1.4024180405942561
121,Centrus Energy Corp.,39.74,39.07,38.93,41.55,39.74,39.07,38.93,41.55,2.139525666067252
122,"Century Communities, Inc.",88.46,88.46,87.84,90.53,88.46,88.46,87.84,90.53,2.00294616459227
123,"CF Industries Holdings, Inc.",86.1,86.29,85.33,87.035,86.1,86.29,85.33,87.035,2.083697373342383
124,"Cheniere Energy Partners, L.P.",49.32,49.2,49.0301,50.25,49.32,49.2,49.0301,50.25,1.3351272015526439
125,Chesapeake Energy Corporation,84.0,84.66,84.0,86.69,84.0,84.66,84.0,86.69,1.9054338042858985
126,"The Children's Place, Inc.",13.29,13.26,12.72,13.83,13.29,13.26,12.72,13.83,1.5878655505274595
127,"Cibus, Inc.",20.3729,19.86,19.26,20.805,20.3729,19.86,19.26,20.805,1.8063636033431343
128,Cimpress plc,89.37,89.85,89.002,91.9,89.37,89.85,89.002,91.9,2.54212624470707
129,"Cirrus Logic, Inc.",89.47,88.63,88.51,90.83,89.47,88.63,88.51,90.83,1.9991303093348567
130,"Civitas Resources, Inc.",73.37,73.82,73.3243,75.38,73.37,73.82,73.3243,75.38,1.9507357690704827
131,"Clearfield, Inc.",28.75,28.9,28.5,29.61,28.75,28.9,28.5,29.61,1.5017390722342632
132,"Cloudflare, Inc.",95.31,95.17,94.67,98.4176,95.31,95.17,94.67,98.4176,2.9951290537717314
133,"Coca-Cola FEMSA, S.A.B. de C.V.",96.38,96.63,96.33,98.53,96.38,96.63,96.33,98.53,1.749787885863313
134,"Cogent Communications Holdings, Inc.",61.76,61.94,61.58,63.01,61.76,61.94,61.58,63.01,1.6569272217087798
135,"Cohen & Steers, Inc.",70.83,70.77,70.87,73.32,70.83,70.77,70.87,73.32,1.4897925832567798
136,Coherent Corp.,58.0,58.0,57.59,60.79,58.0,58.0,57.59,60.79,1.7688142980040298
137,Columbia Sportswear Company,77.51,77.33,77.195,78.18,77.51,77.33,77.195,78.18,1.6059875035788154
138,Comerica Incorporated,49.5,49.87,49.4,52.005,49.5,49.87,49.4,52.005,1.7597355953553886
139,"Community Bank System, Inc.",44.06,44.27,44.04,46.44,44.06,44.27,44.04,46.44,1.392724154479457
140,"Commvault Systems, Inc.",97.5,97.42,97.46,99.56,97.5,97.42,97.46,99.56,1.4545061465779783
141,Concentrix Corporation,59.76,60.08,59.45,63.11,59.76,60.08,59.45,63.11,2.7057931901958545
142,"Confluent, Inc.",31.44,31.3,30.96,32.09,31.44,31.3,30.96,32.09,1.370205487187201
143,CONMED Corporation,75.7,76.21,75.47,76.29,75.7,76.21,75.47,76.29,2.977721283530504
144,"Consensus Cloud Solutions, Inc.",14.38,14.42,13.86,14.79,14.38,14.42,13.86,14.79,1.2697786399027104
145,CONSOL Energy Inc.,82.0,82.98,81.92,84.65,82.0,82.98,81.92,84.65,2.9836914032068043
146,"Consolidated Edison, Inc.",89.44,89.71,88.615,90.21,89.44,89.71,88.615,90.21,1.5033133548576572
147,"CoStar Group, Inc.",95.03,94.1,94.0901,96.88,95.03,94.1,94.0901,96.88,1.7530432237466806
148,"Covenant Logistics Group, Inc.",43.7,43.72,43.195,44.84,43.7,43.72,43.195,44.84,1.314949091857125
149,"Cracker Barrel Old Country Store, Inc.",65.59,65.42,65.0,68.295,65.59,65.42,65.0,68.295,2.460856810296014
150,"Crane NXT, Co.",60.16,60.46,59.85,60.54,60.16,60.46,59.85,60.54,1.2931618388548916
151,"Crinetics Pharmaceuticals, Inc.",44.23,45.18,42.7,46.76,44.23,45.18,42.7,46.76,1.301071035060958
152,CRISPR Therapeutics AG,71.51,71.96,70.7,74.202,71.51,71.96,70.7,74.202,3.044881345726284
153,"Crown Holdings, Inc.",76.81,77.26,76.72,77.7,76.81,77.26,76.72,77.7,1.8758151705450814
154,"Customers Bancorp, Inc.",50.44,50.75,50.8,54.11,50.44,50.75,50.8,54.11,1.6116206391526777
155,"CVR Partners, LP",75.0,74.25,73.07,79.95,75.0,74.25,73.07,79.95,2.108198950722435
156,CVS Health Corporation,77.74,78.06,77.625,78.97,77.74,78.06,77.625,78.97,1.3967585466555825
157,"Cytokinetics, Incorporated",66.81,67.59,65.64,67.9619,66.81,67.59,65.64,67.9619,2.37202338267692
158,Danaos Corporation,69.84,70.1,69.33,71.5393,69.84,70.1,69.33,71.5393,1.4998836036311092
159,Daqo New Energy Corp.,25.77,26.23,25.47,27.13,25.77,26.23,25.47,27.13,1.3649011393309582
160,Darling Ingredients Inc.,44.15,44.26,43.7401,45.945,44.15,44.26,43.7401,45.945,1.6638931756905415
161,"Dave & Buster's Entertainment, Inc.",62.61,62.79,62.02,63.99,62.61,62.79,62.02,63.99,1.461592738336254
162,Dayforce Inc,68.24,67.86,67.92,69.22,68.24,67.86,67.92,69.22,1.9474269580464116
163,"Delek Logistics Partners, LP",41.0,40.76,40.855,41.73,41.0,40.76,40.855,41.73,1.6372869465275728
164,The Descartes Systems Group Inc.,92.26,92.45,92.195,93.875,92.26,92.45,92.195,93.875,1.44778635379354
165,Digimarc Corporation,27.36,27.53,27.2,28.824,27.36,27.53,27.2,28.824,1.5666560749762615
166,Digital World Acquisition Corp.,38.25,36.42,38.09,44.86,38.25,36.42,38.09,44.86,1.4025455256224622
167,"DigitalOcean Holdings, Inc.",39.09,39.26,38.69,39.795,39.09,39.26,38.69,39.795,1.5051541988086323
168,"Dine Brands Global, Inc.",46.26,46.38,46.41,47.47,46.26,46.38,46.41,47.47,1.5706221863005196
169,Diodes Incorporated,64.6,64.64,64.1083,66.76,64.6,64.64,64.1083,66.76,2.3074772800852656
170,Direxion Daily MSCI Brazil Bull 2X Shares,84.98,84.46,84.62,88.415,84.98,84.46,84.62,88.415,2.3782980052100555
171,Direxion Daily 20+ Year Treasury Bull 3X Shares,52.2,51.92,50.845,53.39,52.2,51.92,50.845,53.39,1.8750993942278091
172,Direxion Daily CSI China Internet Bull 2X Shares,31.53,30.46,30.93,32.07,31.53,30.46,30.93,32.07,1.437815336266875
173,Direxion Daily Junior Gold Miners Index Bull 2X Shares,28.1,28.32,27.91,31.45,28.1,28.32,27.91,31.45,1.6042308283118336
174,Direxion Daily Nvda Bull 1.5X Shares,65.47,65.0,63.72,66.055,65.47,65.0,63.72,66.055,1.6766971672467803
175,Direxion Daily Real Estate Bear 3X Shares,37.84,37.18,36.3725,38.39,37.84,37.18,36.3725,38.39,2.118180838713951
176,Direxion Daily Regional Banks Bull 3X Shares,66.5,67.27,65.81,75.362,66.5,67.27,65.81,75.362,5.2282906928345
177,Direxion Daily S&P 500 High Beta Bear 3X Shares,25.25,25.25,23.43,25.32,25.25,25.25,23.43,25.32,1.830100072056104
178,Direxion Daily S&P 500 High Beta Bull 3X Shares,43.04,43.13,42.975,46.065,43.04,43.13,42.975,46.065,1.419726817155111
179,Direxion Daily Energy Bull 2X Shares,66.84,67.57,66.67,67.9,66.84,67.57,66.67,67.9,1.9067539719653044
180,Direxion Daily Gold Miners Index Bull 2X Shares,29.03,29.22,28.9,32.0963,29.03,29.22,28.9,32.0963,1.4719870735853562
181,Direxion Daily Mid Cap Bull 3X Shares,50.43,50.64,50.44,53.0796,50.43,50.64,50.44,53.0796,1.29218168567672
182,Direxion Daily Semiconductor Bull 3X Shares,41.59,41.42,40.6236,43.79,41.59,41.42,40.6236,43.79,1.5228339308510954
183,Direxion Daily Small Cap Bull 3X Shares,37.75,38.07,37.51,40.82,37.75,38.07,37.51,40.82,1.4841116989226637
184,Direxion Daily Technology Bull 3X Shares,79.6,79.33,78.76,82.1501,79.6,79.33,78.76,82.1501,2.1711019850880913
185,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,38.0,38.44,37.7,39.22,38.0,38.44,37.7,39.22,1.3764615150717274
186,"Disc Medicine, Inc.",67.75,67.64,63.82,67.8,67.75,67.64,63.82,67.8,2.789596896868921
187,Docebo Inc.,50.22,50.54,49.8243,51.89,50.22,50.54,49.8243,51.89,1.392413791460482
188,"DocuSign, Inc.",59.0,58.95,57.79,59.18,59.0,58.95,57.79,59.18,1.7482015587124429
189,"Dolby Laboratories, Inc.",83.8,83.65,83.32,84.34,83.8,83.65,83.32,84.34,1.2651913324246338
190,"Dorman Products, Inc.",90.66,90.65,90.66,93.96,90.66,90.65,90.66,93.96,2.2296835857888926
191,Duke Energy Corporation,95.0,95.14,94.575,95.72,95.0,95.14,94.575,95.72,1.4986673560283825
192,Eagle Bulk Shipping Inc.,61.04,61.55,59.79,62.5124,61.04,61.55,59.79,62.5124,1.3527675020529961
193,"East West Bancorp, Inc.",74.35,74.71,74.165,76.26,74.35,74.71,74.165,76.26,1.7540915263410752
194,Eastman Chemical Company,93.28,93.07,92.7975,94.35,93.28,93.07,92.7975,94.35,1.6673116891601283
195,Edison International,69.38,69.5,68.7944,69.925,69.38,69.5,68.7944,69.925,1.2513746833597534
196,Edwards Lifesciences Corporation,94.26,94.31,91.98,94.4,94.26,94.31,91.98,94.4,1.7501581817747576
197,"eFFECTOR Therapeutics, Inc.",12.5,12.27,12.05,12.76,12.5,12.27,12.05,12.76,1.6358854233511824
198,"Eiger BioPharmaceuticals, Inc.",5.13,4.81,5.13,7.1425,5.13,4.81,5.13,7.1425,1.9032786467329788
199,"Encore Capital Group, Inc.",45.03,45.26,45.03,46.8,45.03,45.26,45.03,46.8,1.4330829424349216
200,Endava plc,38.8,38.92,38.252,39.64,38.8,38.92,38.252,39.64,2.2954468255928857
201,EnerSys,89.9,89.9,89.65,92.34,89.9,89.9,89.65,92.34,2.076111577958324
202,"Enova International, Inc.",61.32,61.48,61.38,63.24,61.32,61.48,61.38,63.24,1.4075058948381145
203,Enovis Corporation,59.12,59.48,59.05,60.05,59.12,59.48,59.05,60.05,1.2677469668181045
204,"Envestnet, Inc.",54.51,54.38,54.49,56.81,54.51,54.38,54.49,56.81,1.4756521594383027
205,ePlus inc.,77.21,77.75,75.89,77.57,77.21,77.75,75.89,77.57,1.7800789331730176
206,Establishment Labs Holdings Inc.,50.4,50.34,49.69,51.17,50.4,50.34,49.69,51.17,2.397865634661889
207,T-Rex 2X Long Tesla Daily Target ETF,10.9,10.69,10.61,11.29,10.9,10.69,10.61,11.29,1.3499047324770972
208,T-Rex 2X Inverse Tesla Daily Target ETF,41.18,41.98,39.63,42.2,41.18,41.98,39.63,42.2,2.2361186519328964
209,"Etsy, Inc.",66.1,66.84,66.03,69.205,66.1,66.84,66.03,69.205,3.0389409423345635
210,Eversource Energy,58.69,58.8,58.44,59.66,58.69,58.8,58.44,59.66,1.3311209889854498
211,Exact Sciences Corporation,61.77,61.9,60.205,63.135,61.77,61.9,60.205,63.135,2.6134783326401543
212,"Exponent, Inc.",79.25,79.68,79.25,81.33,79.25,79.68,79.25,81.33,1.9425830276592784
213,Faraday Future Intelligent Electric Inc.,0.0941,0.0921,0.0861,0.095,0.0941,0.0921,0.0861,0.095,4.052821746957396
214,Federal Realty Investment Trust,99.1,99.67,99.1,101.365,99.1,99.67,99.1,101.365,1.769250812400685
215,Federal Signal Corporation,80.1,80.02,79.69,81.795,80.1,80.02,79.69,81.795,1.3426304813646213
216,"Fidelity National Information Services, Inc.",70.0,69.86,69.65,71.095,70.0,69.86,69.65,71.095,1.2797995102049264
217,First Trust Cloud Computing ETF,94.84,94.84,94.7799,96.47,94.84,94.84,94.7799,96.47,1.3163641224736753
218,"Five9, Inc.",61.07,61.39,59.59,61.97,61.07,61.39,59.59,61.97,2.7292620038229325
219,Fiverr International Ltd.,21.86,21.8,21.8,22.95,21.86,21.8,21.8,22.95,1.2816627744644409
220,"Fluence Energy, Inc.",14.45,14.42,14.27,15.17,14.45,14.42,14.27,15.17,1.3650833614288813
221,FMC Corporation,63.53,61.67,63.02,64.845,63.53,61.67,63.02,64.845,2.0921088998496775
222,"Fortinet, Inc.",67.79,67.79,67.02,68.06,67.79,67.79,67.02,68.06,1.6380950988285126
223,Fortrea Holdings Inc.,39.71,39.64,39.24,40.19,39.71,39.64,39.24,40.19,1.3101894880595961
224,"Fortune Brands Innovations, Inc.",80.39,80.26,79.86,81.775,80.39,80.26,79.86,81.775,1.4991651239025263
225,Forward Air Corporation,26.62,27.13,26.44,27.45,26.62,27.13,26.44,27.45,2.4798862846154712
226,Fox Factory Holding Corp.,47.84,47.82,46.77,48.67,47.84,47.82,46.77,48.67,2.8286785095457048
227,Freedom Holding Corp.,72.14,71.61,71.0736,72.797,72.14,71.61,71.0736,72.797,2.2883311377631292
228,H.B. Fuller Company,79.5,79.58,79.275,81.41,79.5,79.58,79.275,81.41,1.39375168606106
229,Futu Holdings Limited,56.05,56.53,56.05,58.04,56.05,56.53,56.05,58.04,2.1037975795685298
230,GE HealthCare Technologies Inc.,90.48,90.78,90.15,91.11,90.48,90.78,90.15,91.11,1.6567571582945035
231,Genesco Inc.,25.99,26.01,26.1075,27.43,25.99,26.01,26.1075,27.43,1.3040179298037575
232,"Genprex, Inc.",3.24,3.38,2.8,3.3388,3.24,3.38,2.8,3.3388,1.7333683570226035
233,Gentherm Incorporated,53.8,54.14,53.105,54.52,53.8,54.14,53.105,54.52,1.6867659432547433
234,"Gibraltar Industries, Inc.",77.3,77.26,76.52,79.06,77.3,77.26,76.52,79.06,1.7594843364897228
235,GigaCloud Technology Inc.,30.47,29.52,27.81,31.51,30.47,29.52,27.81,31.51,1.4663175249856617
236,"Gilead Sciences, Inc.",73.27,73.41,72.8,73.98,73.27,73.41,72.8,73.98,1.306914821260993
237,GitLab Inc.,55.41,55.58,54.9501,57.43,55.41,55.58,54.9501,57.43,2.2502935121929832
238,Glaukos Corporation,87.08,87.62,85.34,88.27,87.08,87.62,85.34,88.27,2.3953253276764404
239,Global-E Online Ltd.,35.75,35.62,35.31,37.44,35.75,35.62,35.31,37.44,1.6036825331430586
240,GLOBALFOUNDRIES Inc.,51.2,51.29,50.57,52.54,51.2,51.29,50.57,52.54,1.7607976822626021
241,"Globus Medical, Inc.",51.97,51.98,51.0,52.1604,51.97,51.98,51.0,52.1604,1.3055571752881248
242,GMS Inc.,95.03,95.03,95.125,96.49,95.03,95.03,95.125,96.49,1.6889286041259766
243,"Goosehead Insurance, Inc",74.84,75.13,73.8049,76.62,74.84,75.13,73.8049,76.62,2.3610163037739103
244,Graco Inc.,92.66,92.62,92.345,93.4,92.66,92.62,92.345,93.4,1.2869251493423706
245,GraniteShares 2x Long COIN Daily ETF,59.36,58.95,58.56,72.97,59.36,58.95,58.56,72.97,2.07005955113305
246,"Great Southern Bancorp, Inc.",51.32,51.25,51.1104,53.63,51.32,51.25,51.1104,53.63,1.4440063900417752
247,"Green Brick Partners, Inc.",56.55,56.55,56.14,58.195,56.55,56.55,56.14,58.195,1.6087898678249783
248,"Greif, Inc.",63.67,64.1,63.44,65.08,63.67,64.1,63.44,65.08,1.286904804290287
249,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",68.39,68.76,68.25,69.97,68.39,68.76,68.25,69.97,2.5332145085410467
250,"Guardant Health, Inc.",18.14,17.94,17.75,18.195,18.14,17.94,17.75,18.195,1.345853162190271
251,"GXO Logistics, Inc.",49.42,49.61,48.985,50.11,49.42,49.61,48.985,50.11,1.4121904675922696
252,"H&E Equipment Services, Inc.",59.76,59.63,59.16,61.0282,59.76,59.63,59.16,61.0282,1.4170165289015997
253,H World Group Limited,40.0,39.74,38.32,40.21,40.0,39.74,38.32,40.21,1.257261896890307
254,Haemonetics Corporation,77.01,77.51,76.57,80.43,77.01,77.51,76.57,80.43,2.0579761020720952
255,"Halozyme Therapeutics, Inc.",40.52,40.81,39.69,40.5821,40.52,40.81,39.69,40.5821,1.270286340562124
256,Hancock Whitney Corporation,41.79,42.04,41.7,44.0,41.79,42.04,41.7,44.0,1.30238095540849
257,"Harmony Biosciences Holdings, Inc.",32.46,32.33,32.205,33.99,32.46,32.33,32.205,33.99,1.3377302714756558
258,"Hasbro, Inc.",54.18,54.36,53.91,54.69,54.18,54.36,53.91,54.69,1.359206305609809
259,"Hawkins, Inc.",71.54,72.15,71.305,75.99,71.54,72.15,71.305,75.99,1.6395436847020708
260,"Haynes International, Inc.",59.88,59.95,59.82,60.02,59.88,59.95,59.82,60.02,1.2996031746031746
261,"HealthEquity, Inc.",82.59,83.53,79.77,84.49,82.59,83.53,79.77,84.49,2.067987911284916
262,"Helios Technologies, Inc.",43.53,43.92,43.18,44.395,43.53,43.92,43.18,44.395,1.4855751007322282
263,"Henry Schein, Inc.",74.73,74.38,74.14,74.905,74.73,74.38,74.14,74.905,1.4719641852000402
264,Hexcel Corporation,72.01,72.13,71.9,73.455,72.01,72.13,71.9,73.455,1.4500597090948197
265,HF Sinclair Corporation,59.36,59.66,58.945,61.51,59.36,59.66,58.945,61.51,1.4844642518058655
266,"Hibbett, Inc.",73.33,73.26,72.235,74.63,73.33,73.26,72.235,74.63,1.9991071943252807
267,"Hologic, Inc.",76.22,76.31,74.77,76.46,76.22,76.31,74.77,76.46,1.2560716356549944
268,Howard Hughes Holdings Inc.,71.03,71.18,70.8,72.15,71.03,71.18,70.8,72.15,1.6073013487316312
269,Huron Consulting Group Inc.,94.7,95.25,94.54,96.215,94.7,95.25,94.54,96.215,2.3347815861777654
270,"Hyster-Yale Materials Handling, Inc.",62.68,63.29,59.105,63.01,62.68,63.29,59.105,63.01,1.8899405948699468
271,IAC Inc.,51.46,51.59,51.38,53.21,51.46,51.59,51.38,53.21,1.407289777483259
272,"ICU Medical, Inc.",98.5,99.01,96.16,98.885,98.5,99.01,96.16,98.885,4.353829277886285
273,"IDACORP, Inc.",90.35,90.5,89.67,91.28,90.35,90.5,89.67,91.28,1.6338890923394098
274,Immunocore Holdings plc,62.0,61.61,60.6,63.51,62.0,61.61,60.6,63.51,2.4992383472503175
275,"Immunovant, Inc.",30.84,31.09,30.18,31.63,30.84,31.09,30.18,31.63,1.4200040234459772
276,Imperial Oil Limited,67.24,67.3,66.67,67.48,67.24,67.3,66.67,67.48,1.3370636531284879
277,"Inari Medical, Inc.",44.74,45.25,44.65,46.582,44.74,45.25,44.65,46.582,2.4251268477666947
278,Incyte Corporation,58.03,58.33,57.5,58.41,58.03,58.33,57.5,58.41,1.3469046638125466
279,Independent Bank Corp.,48.95,49.35,48.94,51.77,48.95,49.35,48.94,51.77,1.8988492602393743
280,Ingersoll Rand Inc.,91.68,91.56,91.38,93.71,91.68,91.56,91.38,93.71,1.2788133772592696
281,"Ingles Markets, Incorporated",74.15,74.23,73.84,75.515,74.15,74.23,73.84,75.515,1.5578772226969402
282,"Inhibrx, Inc.",34.97,34.99,34.89,35.2,34.97,34.99,34.89,35.2,1.4529127052852084
283,"Innovative Industrial Properties, Inc.",97.38,97.6,96.88,99.39,97.38,97.6,96.88,99.39,2.225754177759564
284,"Insperity, Inc.",99.67,99.57,99.305,101.69,99.67,99.57,99.305,101.69,2.499147142682757
285,"Intapp, Inc.",34.46,34.5,34.09,35.24,34.46,34.5,34.09,35.24,1.568349255455865
286,"Intellia Therapeutics, Inc.",27.6,27.63,27.1808,28.41,27.6,27.63,27.1808,28.41,1.687409416077629
287,International Flavors & Fragrances Inc.,83.48,83.05,83.025,84.305,83.48,83.05,83.025,84.305,1.8003569860306996
288,"International Seaways, Inc.",51.81,52.56,51.0801,52.7,51.81,52.56,51.0801,52.7,1.401051188272143
289,"Intra-Cellular Therapies, Inc.",65.5,65.45,64.95,67.41,65.5,65.45,64.95,67.41,2.0339563763330855
290,Invesco Solar ETF,42.59,43.05,42.5006,44.4001,42.59,43.05,42.5006,44.4001,1.5322201138450986
291,AXS 1.25X NVDA Bear Daily ETF,12.88,12.97,12.78,13.1715,12.88,12.97,12.78,13.1715,5.152474460147676
292,AXS 2X Innovation ETF,75.88,75.71,75.0821,81.135,75.88,75.71,75.0821,81.135,3.8864201288374645
293,AXS TSLA Bear Daily ETF,38.94,39.31,38.21,39.44,38.94,39.31,38.21,39.44,1.4000556431119404
294,"Ionis Pharmaceuticals, Inc.",41.99,42.16,41.6001,42.8,41.99,42.16,41.6001,42.8,1.3036108016967773
295,IPG Photonics Corporation,87.8,87.78,87.17,89.35,87.8,87.78,87.17,89.35,2.6671430194188677
296,iShares S&P Small-Cap 600 Value ETF,98.35,98.62,98.025,101.05,98.35,98.62,98.025,101.05,1.4987103295704676
297,iShares U.S. Real Estate ETF,87.55,88.25,87.34,89.015,87.55,88.25,87.34,89.015,1.2603373451838418
298,"Itron, Inc.",87.15,87.07,86.45,90.1,87.15,87.07,86.45,90.1,1.795198334587945
299,Jack in the Box Inc.,70.98,71.34,70.72,71.795,70.98,71.34,70.72,71.795,2.171210046798464
300,"JinkoSolar Holding Co., Ltd.",24.2,26.45,23.04,24.99,24.2,26.45,23.04,24.99,1.6434922218322754
301,Kaiser Aluminum Corporation,78.9,79.23,78.73,82.525,78.9,79.23,78.73,82.525,2.406210672287714
302,KB Home,68.22,68.23,67.62,70.28,68.22,68.23,67.62,70.28,1.324523895505875
303,"Keros Therapeutics, Inc.",64.03,64.2,63.29,67.0,64.03,64.2,63.29,67.0,2.256325509813097
304,Kforce Inc.,67.98,68.19,67.73,70.315,67.98,68.19,67.73,70.315,1.6229562153891912
305,Kirby Corporation,89.47,90.04,89.29,91.485,89.47,90.04,89.29,91.485,1.5216073838491289
306,KKR & Co. Inc.,95.91,95.76,95.4801,98.7,95.91,95.76,95.4801,98.7,1.5014280591692244
307,"Klaviyo, Inc.",26.2,26.01,25.78,26.79,26.2,26.01,25.78,26.79,1.7360720825195313
308,Knife River Corporation,76.03,76.36,76.135,78.24,76.03,76.36,76.135,78.24,1.747924478808839
309,Knight-Swift Transportation Holdings Inc.,52.11,52.08,51.975,53.57,52.11,52.08,51.975,53.57,1.3819245989360507
310,"Kontoor Brands, Inc.",58.5,58.33,57.94,58.76,58.5,58.33,57.94,58.76,1.3448054904029483
311,"Korro Bio, Inc.",64.755,64.15,63.094,65.0,64.755,64.15,63.094,65.0,3.4195675585005016
312,"Kulicke and Soffa Industries, Inc.",47.48,47.34,47.32,48.9,47.48,47.34,47.32,48.9,1.3661905470348539
313,"Kymera Therapeutics, Inc.",39.56,39.57,38.75,40.42,39.56,39.57,38.75,40.42,1.4358731148734925
314,Lakeland Financial Corporation,61.26,61.38,60.91,64.1,61.26,61.38,60.91,64.1,1.7935716235448442
315,"Lantheus Holdings, Inc.",58.02,58.44,57.7808,59.27,58.02,58.44,57.7808,59.27,2.7758026123046875
316,Lattice Semiconductor Corporation,76.98,76.87,75.855,78.5,76.98,76.87,75.855,78.5,2.885615242852105
317,Legend Biotech Corporation,62.52,62.82,59.91,62.78,62.52,62.82,59.91,62.78,2.513107284667
318,"LeMaitre Vascular, Inc.",67.14,67.07,65.705,67.37,67.14,67.07,65.705,67.37,1.6481944644261919
319,"LendingTree, Inc.",37.0,37.39,37.0,41.105,37.0,37.39,37.0,41.105,1.4418452656458296
320,Liberty Broadband Corporation,57.82,57.52,56.15,57.82,57.82,57.52,56.15,57.82,1.9694841324336947
321,Liberty Broadband Corporation,57.72,57.86,56.37,58.12,57.72,57.86,56.37,58.12,2.0990199134463357
322,Formula One Group,60.44,60.03,59.71,60.65,60.44,60.03,59.71,60.65,1.4824833188738142
323,Formula One Group,68.59,68.57,67.93,69.4,68.59,68.57,67.93,69.4,1.7593430564517067
324,Ligand Pharmaceuticals Incorporated,72.29,72.21,71.74,74.34,72.29,72.21,71.74,74.34,2.2853968029930476
325,"Limbach Holdings, Inc.",41.57,41.72,41.35,44.32,41.57,41.72,41.35,44.32,1.5627580332377602
326,LivaNova PLC,51.25,50.34,51.25,57.1208,51.25,50.34,51.25,57.1208,1.4834318009633867
327,Louisiana-Pacific Corporation,78.68,78.74,78.57,81.675,78.68,78.74,78.57,81.675,1.7602180147927904
328,Lumentum Holdings Inc.,46.54,46.52,46.445,49.3,46.54,46.52,46.445,49.3,1.6868690914577908
329,LyondellBasell Industries N.V.,99.2,99.83,99.0,102.49,99.2,99.83,99.0,102.49,1.7634916154165117
330,"MACOM Technology Solutions Holdings, Inc.",91.35,91.0,90.36,94.65,91.35,91.0,90.36,94.65,2.236944213746086
331,Madison Square Garden Entertainment Corp.,38.4,38.29,38.29,39.65,38.4,38.29,38.29,39.65,1.2740358173045343
332,"Malibu Boats, Inc.",39.5,39.56,39.45,41.1,39.5,39.56,39.45,41.1,1.5351628651694647
333,ManpowerGroup Inc.,72.62,72.84,72.54,74.71,72.62,72.84,72.54,74.71,1.5319842383975075
334,Maplebear Inc.,37.0,36.99,36.82,38.2718,37.0,36.99,36.82,38.2718,1.532636327067698
335,"Marathon Digital Holdings, Inc.",19.55,19.32,19.02,22.43,19.55,19.32,19.02,22.43,1.4328174818129766
336,Marriott Vacations Worldwide Corporation,97.22,97.84,97.285,102.09,97.22,97.84,97.285,102.09,2.721925099690755
337,"Marvell Technology, Inc.",65.03,65.06,64.55,66.05,65.03,65.06,64.55,66.05,1.9317063377017067
338,"MasTec, Inc.",85.78,85.95,85.595,87.545,85.78,85.95,85.595,87.545,2.7114282941061356
339,Matador Resources Company,67.08,67.31,66.75,68.18,67.08,67.31,66.75,68.18,1.7560315661960177
340,"Match Group, Inc.",35.62,35.71,34.95,36.055,35.62,35.71,34.95,36.055,1.2858373324076335
341,"Maximus, Inc.",83.74,83.7,83.03,84.32,83.74,83.7,83.03,84.32,1.542460426451668
342,"McCormick & Company, Incorporated",69.65,69.4,68.34,70.54,69.65,69.4,68.34,70.54,1.3599604652041482
343,"Medifast, Inc.",34.76,34.94,34.5,35.85,34.76,34.94,34.5,35.85,2.772539380996946
344,Medtronic plc,83.75,84.11,83.54,84.18,83.75,84.11,83.54,84.18,1.3319838387625558
345,"Merit Medical Systems, Inc.",72.91,73.1,72.335,73.29,72.91,73.1,72.335,73.29,1.654067281692747
346,Merus N.V.,44.65,45.01,44.57,45.61,44.65,45.01,44.57,45.61,1.4167737733750116
347,Meta Materials Inc.,1.95,1.91,1.92,2.0199,1.95,1.91,1.92,2.0199,1.5253170667186615
348,Metropolitan Bank Holding Corp.,36.18,36.18,35.86,39.09,36.18,36.18,35.86,39.09,2.1106785592578707
349,"MGE Energy, Inc.",73.63,74.05,73.63,75.665,73.63,74.05,73.63,75.665,1.4860914018419056
350,"MGP Ingredients, Inc.",83.46,83.56,83.05,84.3,83.46,83.56,83.05,84.3,2.772301477099222
351,Microchip Technology Incorporated,86.85,87.28,85.8039,88.58,86.85,87.28,85.8039,88.58,2.1251830146426247
352,"Micron Technology, Inc.",94.94,94.0,93.59,96.68,94.94,94.0,93.59,96.68,1.927658550323002
353,"MIND Technology, Inc.",5.37,5.28,5.135,5.37,5.37,5.28,5.135,5.37,3.2367261818477084
354,Minerals Technologies Inc.,72.34,72.64,72.3,74.86,72.34,72.64,72.3,74.86,1.3491269368973988
355,Mobileye Global Inc.,29.89,28.37,28.77,30.55,29.89,28.37,28.77,30.55,1.5950793084644137
356,Modine Manufacturing Company,94.04,94.13,93.3556,99.19,94.04,94.13,93.3556,99.19,1.9439857346670966
