,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
547,"Uber Technologies, Inc.",77.09,77.08,76.75,78.95,77.09,77.08,76.75,78.95,1.4493611956399586
548,Ultragenyx Pharmaceutical Inc.,46.94,47.0,46.35,47.255,46.94,47.0,46.35,47.255,1.7743016046191018
549,UMB Financial Corporation,79.2,79.48,78.42,81.915,79.2,79.48,78.42,81.915,2.1214085533505393
550,"United Airlines Holdings, Inc.",43.63,43.91,43.41,45.99,43.63,43.91,43.41,45.99,1.2555952374897306
551,United Parks & Resorts Inc.,53.12,53.06,53.04,54.625,53.12,53.06,53.04,54.625,1.5821627510918512
552,United States Cellular Corporation,35.22,35.17,34.97,36.4925,35.22,35.17,34.97,36.4925,1.3212003670041523
553,"United States Gasoline Fund, LP",70.65,71.76,70.45,71.1,70.65,71.76,70.45,71.1,1.3065874463035947
554,"United States Oil Fund, LP",77.2,78.43,76.62,77.52,77.2,78.43,76.62,77.52,1.4197616425771562
555,Unity Software Inc.,25.98,26.0,25.62,27.255,25.98,26.0,25.62,27.255,1.6884127193027072
556,"Upstart Holdings, Inc.",24.25,24.18,23.97,26.67,24.25,24.18,23.97,26.67,2.553936651774815
557,"USANA Health Sciences, Inc.",48.33,48.14,47.73,49.17,48.33,48.14,47.73,49.17,1.2896429697672525
558,"V2X, Inc.",43.59,43.6,42.76,43.785,43.59,43.6,42.76,43.785,1.2501666356646826
559,"Vaccinex, Inc.",8.06,8.28,8.02,8.35,8.06,8.28,8.02,8.35,3.508293579495142
560,Valaris Limited,72.77,73.19,71.89,74.375,72.77,73.19,71.89,74.375,2.22552353995187
561,VanEck Low Carbon Energy ETF,97.1,97.0481,97.382,98.665,97.1,97.0481,97.382,98.665,1.2764402419801741
562,VanEck Rare Earth/Strategic Metals ETF,51.04,50.81,50.9601,52.9175,51.04,50.81,50.9601,52.9175,1.333085120670379
563,"Vaxcyte, Inc.",67.5,67.6,67.02,69.32,67.5,67.6,67.02,69.32,2.148317821442135
564,"Ventyx Biosciences, Inc.",7.9499,7.9,7.31,7.9499,7.9499,7.9,7.31,7.9499,1.2677933701447077
565,"Vera Therapeutics, Inc.",42.65,43.42,41.83,46.3,42.65,43.42,41.83,46.3,1.2659086897259666
